City,Country,Date,Lat,Lng,Max Temperature (F),Humidity,Cloudiness,Wind Speed
lebu,cl,2018-07-22 17:00:00,8.96,38.73,64.4,72.0,75.0,4.7
evensk,ru,2018-07-22 17:19:50,61.92,159.24,55.93,88.0,8.0,3.18
port moresby,pg,2018-07-22 16:00:00,-9.47,147.16,77.0,88.0,75.0,17.22
castro,cl,2018-07-22 17:16:50,-42.48,-73.76,46.3,77.0,68.0,3.62
yerofey pavlovich,ru,2018-07-22 17:19:53,53.97,121.97,60.97,90.0,88.0,4.97
dingle,ie,2018-07-22 17:19:53,11.0,122.67,74.56,100.0,92.0,11.56
pisco,pe,2018-07-22 16:00:00,-13.71,-76.2,66.2,77.0,0.0,9.17
namibe,ao,2018-07-22 17:19:54,-15.19,12.15,68.44,96.0,0.0,10.22
dubti,et,2018-07-22 17:19:54,11.74,41.09,85.27,46.0,24.0,5.53
vao,nc,2018-07-22 17:19:55,59.1,26.19,74.11,71.0,76.0,2.06
basoko,cd,2018-07-22 17:19:57,1.23,23.61,76.99,83.0,32.0,1.61
san quintin,mx,2018-07-22 17:19:57,17.54,120.52,71.59,94.0,100.0,4.41
harper,lr,2018-07-22 16:55:00,30.3,-99.24,95.0,23.0,1.0,10.29
sawang daen din,th,2018-07-22 17:19:59,17.48,103.46,76.9,87.0,32.0,10.11
bilma,ne,2018-07-22 17:19:59,18.69,12.92,97.78,15.0,48.0,3.62
mingshui,cn,2018-07-22 17:20:00,22.81,109.89,75.64,92.0,48.0,2.73
mayumba,ga,2018-07-22 17:20:00,-3.44,10.65,71.23,92.0,0.0,8.43
alofi,nu,2018-07-22 17:00:00,-19.06,-169.92,64.4,93.0,0.0,2.24
berlevag,no,2018-07-22 15:50:00,70.86,29.09,55.4,87.0,75.0,9.17
sept-iles,ca,2018-07-22 17:00:00,50.2,-66.38,68.0,77.0,75.0,11.41
lamu,ke,2018-07-22 17:20:02,0.57,122.3,74.02,100.0,76.0,1.95
klyuchi,ru,2018-07-22 17:20:02,52.25,79.17,57.91,86.0,92.0,5.19
okrika,ng,2018-07-22 17:20:03,5.52,7.78,79.06,88.0,92.0,3.74
